sample,frame,prompt_id,instance_id,stage,candidate_path,mask_nonempty,area_ratio,sam_score,total_score,has_gt,f1,iou,precision,recall
BaiZhang,0028,P6,0,raw,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/候选掩膜/raw_instance_P6/mask_BaiZhang_0028_00.png,0,0.013075,0.4375,0.525126,0,,,,
BaiZhang,0028,P6,1,raw,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/候选掩膜/raw_instance_P6/mask_BaiZhang_0028_01.png,0,0.310544,0.96875,0.782399,0,,,,
BaiZhang,0029,P6,0,raw,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/候选掩膜/raw_instance_P6/mask_BaiZhang_0029_00.png,0,0.314851,0.96875,0.80263,0,,,,
BaiZhang,0029,P6,1,raw,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/候选掩膜/raw_instance_P6/mask_BaiZhang_0029_01.png,0,0.016248,0.400391,0.540373,0,,,,
BaiZhang,0030,P6,0,raw,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/候选掩膜/raw_instance_P6/mask_BaiZhang_0030_00.png,0,0.02589,0.333984,0.543403,0,,,,
BaiZhang,0030,P6,1,raw,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/候选掩膜/raw_instance_P6/mask_BaiZhang_0030_01.png,0,0.333839,0.96875,0.83015,0,,,,
BaiZhang,0031,P6,0,raw,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/候选掩膜/raw_instance_P6/mask_BaiZhang_0031_00.png,0,0.028478,0.392578,0.545567,0,,,,
BaiZhang,0031,P6,1,raw,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/候选掩膜/raw_instance_P6/mask_BaiZhang_0031_01.png,0,0.012828,0.302734,0.501654,0,,,,
BaiZhang,0031,P6,2,raw,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/候选掩膜/raw_instance_P6/mask_BaiZhang_0031_02.png,0,0.335411,0.960938,0.706142,0,,,,
BaiZhang,0032,P6,0,raw,/data/fj/F2DMAS/00-论文优化重构/计算机与电子农业特刊实验工作区/01-算法模块修改与验证/阶段十七A_10GT困难样本Pilot与无GT测试审计/02_trackA_variants/P00_Control/候选掩膜/raw_instance_P6/mask_BaiZhang_0032_00.png,0,0.028321,0.460938,0.56921,0,,,,
